,Datetime,n_spawn,route,spawn_delay,Adjusted_Datetime,Stops
44,2024-03-04 15:12:00,1.0,route_101,0,2024-03-04 15:12:00,bs_0-bs_17-bs_2-bs_3-bs_4
45,2024-03-04 15:27:00,1.0,route_101,0,2024-03-04 15:27:00,bs_0-bs_17-bs_2-bs_3-bs_4
46,2024-03-04 15:42:00,1.0,route_101,0,2024-03-04 15:42:00,bs_0-bs_17-bs_2-bs_3-bs_4
47,2024-03-04 15:57:00,1.0,route_101,0,2024-03-04 15:57:00,bs_0-bs_17-bs_2-bs_3-bs_4
48,2024-03-04 16:12:00,1.0,route_101,0,2024-03-04 16:12:00,bs_0-bs_17-bs_2-bs_3-bs_4
49,2024-03-04 16:27:00,1.0,route_101,0,2024-03-04 16:27:00,bs_0-bs_17-bs_2-bs_3-bs_4
50,2024-03-04 16:42:00,1.0,route_101,0,2024-03-04 16:42:00,bs_0-bs_17-bs_2-bs_3-bs_4
51,2024-03-04 16:57:00,1.0,route_101,0,2024-03-04 16:57:00,bs_0-bs_17-bs_2-bs_3-bs_4
52,2024-03-04 17:12:00,1.0,route_101,0,2024-03-04 17:12:00,bs_0-bs_17-bs_2-bs_3-bs_4
53,2024-03-04 17:27:00,1.0,route_101,0,2024-03-04 17:27:00,bs_0-bs_17-bs_2-bs_3-bs_4
54,2024-03-04 17:42:00,1.0,route_101,0,2024-03-04 17:42:00,bs_0-bs_17-bs_2-bs_3-bs_4
55,2024-03-04 17:57:00,1.0,route_101,0,2024-03-04 17:57:00,bs_0-bs_17-bs_2-bs_3-bs_4
56,2024-03-04 18:12:00,1.0,route_101,0,2024-03-04 18:12:00,bs_0-bs_17-bs_2-bs_3-bs_4
57,2024-03-04 18:27:00,1.0,route_101,0,2024-03-04 18:27:00,bs_0-bs_17-bs_2-bs_3-bs_4
58,2024-03-04 18:42:00,1.0,route_101,0,2024-03-04 18:42:00,bs_0-bs_17-bs_2-bs_3-bs_4
59,2024-03-04 18:57:00,1.0,route_101,0,2024-03-04 18:57:00,bs_0-bs_17-bs_2-bs_3-bs_4
60,2024-03-04 19:12:00,1.0,route_101,0,2024-03-04 19:12:00,bs_0-bs_17-bs_2-bs_3-bs_4
61,2024-03-04 19:31:00,1.0,route_101,0,2024-03-04 19:31:00,bs_0-bs_17-bs_2-bs_3-bs_4
62,2024-03-04 20:01:00,1.0,route_101,0,2024-03-04 20:01:00,bs_0-bs_17-bs_2-bs_3-bs_4
63,2024-03-04 20:31:00,1.0,route_101,0,2024-03-04 20:31:00,bs_0-bs_17-bs_2-bs_3-bs_4
64,2024-03-04 21:01:00,1.0,route_101,0,2024-03-04 21:01:00,bs_0-bs_17-bs_2-bs_3-bs_4
65,2024-03-04 21:31:00,1.0,route_101,0,2024-03-04 21:31:00,bs_0-bs_17-bs_2-bs_3-bs_4
66,2024-03-04 22:01:00,1.0,route_101,0,2024-03-04 22:01:00,bs_0-bs_17-bs_2-bs_3-bs_4
67,2024-03-04 22:31:00,1.0,route_101,0,2024-03-04 22:31:00,bs_0-bs_17-bs_2-bs_3-bs_4
68,2024-03-04 23:01:00,1.0,route_101,0,2024-03-04 23:01:00,bs_0-bs_17-bs_2-bs_3-bs_4
69,2024-03-04 23:31:00,1.0,route_101,0,2024-03-04 23:31:00,bs_0-bs_17-bs_2-bs_3-bs_4
70,2024-03-04 00:23:00,1.0,route_R101,0,2024-03-04 00:23:00,bs_9-bs_8-bs_16-bs_18-bs_0
71,2024-03-04 05:24:00,1.0,route_R101,0,2024-03-04 05:24:00,bs_9-bs_8-bs_16-bs_18-bs_0
72,2024-03-04 05:39:00,1.0,route_R101,0,2024-03-04 05:39:00,bs_9-bs_8-bs_16-bs_18-bs_0
73,2024-03-04 05:54:00,1.0,route_R101,0,2024-03-04 05:54:00,bs_9-bs_8-bs_16-bs_18-bs_0
74,2024-03-04 06:09:00,1.0,route_R101,0,2024-03-04 06:09:00,bs_9-bs_8-bs_16-bs_18-bs_0
75,2024-03-04 06:24:00,1.0,route_R101,0,2024-03-04 06:24:00,bs_9-bs_8-bs_16-bs_18-bs_0
76,2024-03-04 06:39:00,1.0,route_R101,0,2024-03-04 06:39:00,bs_9-bs_8-bs_16-bs_18-bs_0
77,2024-03-04 06:54:00,1.0,route_R101,0,2024-03-04 06:54:00,bs_9-bs_8-bs_16-bs_18-bs_0
78,2024-03-04 07:09:00,1.0,route_R101,0,2024-03-04 07:09:00,bs_9-bs_8-bs_16-bs_18-bs_0
79,2024-03-04 07:24:00,1.0,route_R101,0,2024-03-04 07:24:00,bs_9-bs_8-bs_16-bs_18-bs_0
80,2024-03-04 07:39:00,1.0,route_R101,0,2024-03-04 07:39:00,bs_9-bs_8-bs_16-bs_18-bs_0
81,2024-03-04 07:54:00,1.0,route_R101,0,2024-03-04 07:54:00,bs_9-bs_8-bs_16-bs_18-bs_0
82,2024-03-04 08:09:00,1.0,route_R101,0,2024-03-04 08:09:00,bs_9-bs_8-bs_16-bs_18-bs_0
83,2024-03-04 08:24:00,1.0,route_R101,0,2024-03-04 08:24:00,bs_9-bs_8-bs_16-bs_18-bs_0
84,2024-03-04 08:39:00,1.0,route_R101,0,2024-03-04 08:39:00,bs_9-bs_8-bs_16-bs_18-bs_0
85,2024-03-04 08:54:00,1.0,route_R101,0,2024-03-04 08:54:00,bs_9-bs_8-bs_16-bs_18-bs_0
86,2024-03-04 09:09:00,1.0,route_R101,0,2024-03-04 09:09:00,bs_9-bs_8-bs_16-bs_18-bs_0
87,2024-03-04 09:24:00,1.0,route_R101,0,2024-03-04 09:24:00,bs_9-bs_8-bs_16-bs_18-bs_0
88,2024-03-04 09:39:00,1.0,route_R101,0,2024-03-04 09:39:00,bs_9-bs_8-bs_16-bs_18-bs_0
89,2024-03-04 09:54:00,1.0,route_R101,0,2024-03-04 09:54:00,bs_9-bs_8-bs_16-bs_18-bs_0
90,2024-03-04 10:09:00,1.0,route_R101,0,2024-03-04 10:09:00,bs_9-bs_8-bs_16-bs_18-bs_0
91,2024-03-04 10:24:00,1.0,route_R101,0,2024-03-04 10:24:00,bs_9-bs_8-bs_16-bs_18-bs_0
92,2024-03-04 10:39:00,1.0,route_R101,0,2024-03-04 10:39:00,bs_9-bs_8-bs_16-bs_18-bs_0
93,2024-03-04 10:54:00,1.0,route_R101,0,2024-03-04 10:54:00,bs_9-bs_8-bs_16-bs_18-bs_0
94,2024-03-04 11:09:00,1.0,route_R101,0,2024-03-04 11:09:00,bs_9-bs_8-bs_16-bs_18-bs_0
95,2024-03-04 11:24:00,1.0,route_R101,0,2024-03-04 11:24:00,bs_9-bs_8-bs_16-bs_18-bs_0
96,2024-03-04 11:39:00,1.0,route_R101,0,2024-03-04 11:39:00,bs_9-bs_8-bs_16-bs_18-bs_0
97,2024-03-04 11:54:00,1.0,route_R101,0,2024-03-04 11:54:00,bs_9-bs_8-bs_16-bs_18-bs_0
98,2024-03-04 12:09:00,1.0,route_R101,0,2024-03-04 12:09:00,bs_9-bs_8-bs_16-bs_18-bs_0
99,2024-03-04 12:24:00,1.0,route_R101,0,2024-03-04 12:24:00,bs_9-bs_8-bs_16-bs_18-bs_0
100,2024-03-04 12:39:00,1.0,route_R101,0,2024-03-04 12:39:00,bs_9-bs_8-bs_16-bs_18-bs_0
101,2024-03-04 12:54:00,1.0,route_R101,0,2024-03-04 12:54:00,bs_9-bs_8-bs_16-bs_18-bs_0
102,2024-03-04 13:09:00,1.0,route_R101,0,2024-03-04 13:09:00,bs_9-bs_8-bs_16-bs_18-bs_0
103,2024-03-04 13:24:00,1.0,route_R101,0,2024-03-04 13:24:00,bs_9-bs_8-bs_16-bs_18-bs_0
104,2024-03-04 13:39:00,1.0,route_R101,0,2024-03-04 13:39:00,bs_9-bs_8-bs_16-bs_18-bs_0
105,2024-03-04 13:54:00,1.0,route_R101,0,2024-03-04 13:54:00,bs_9-bs_8-bs_16-bs_18-bs_0
106,2024-03-04 14:09:00,1.0,route_R101,0,2024-03-04 14:09:00,bs_9-bs_8-bs_16-bs_18-bs_0
107,2024-03-04 14:24:00,1.0,route_R101,0,2024-03-04 14:24:00,bs_9-bs_8-bs_16-bs_18-bs_0
108,2024-03-04 14:39:00,1.0,route_R101,0,2024-03-04 14:39:00,bs_9-bs_8-bs_16-bs_18-bs_0
109,2024-03-04 14:54:00,1.0,route_R101,0,2024-03-04 14:54:00,bs_9-bs_8-bs_16-bs_18-bs_0
110,2024-03-04 15:09:00,1.0,route_R101,0,2024-03-04 15:09:00,bs_9-bs_8-bs_16-bs_18-bs_0
111,2024-03-04 15:24:00,1.0,route_R101,0,2024-03-04 15:24:00,bs_9-bs_8-bs_16-bs_18-bs_0
112,2024-03-04 15:39:00,1.0,route_R101,0,2024-03-04 15:39:00,bs_9-bs_8-bs_16-bs_18-bs_0
113,2024-03-04 15:54:00,1.0,route_R101,0,2024-03-04 15:54:00,bs_9-bs_8-bs_16-bs_18-bs_0
114,2024-03-04 16:09:00,1.0,route_R101,0,2024-03-04 16:09:00,bs_9-bs_8-bs_16-bs_18-bs_0
115,2024-03-04 16:24:00,1.0,route_R101,0,2024-03-04 16:24:00,bs_9-bs_8-bs_16-bs_18-bs_0
116,2024-03-04 16:39:00,1.0,route_R101,0,2024-03-04 16:39:00,bs_9-bs_8-bs_16-bs_18-bs_0
117,2024-03-04 16:54:00,1.0,route_R101,0,2024-03-04 16:54:00,bs_9-bs_8-bs_16-bs_18-bs_0
118,2024-03-04 17:09:00,1.0,route_R101,0,2024-03-04 17:09:00,bs_9-bs_8-bs_16-bs_18-bs_0
119,2024-03-04 17:24:00,1.0,route_R101,0,2024-03-04 17:24:00,bs_9-bs_8-bs_16-bs_18-bs_0
120,2024-03-04 17:39:00,1.0,route_R101,0,2024-03-04 17:39:00,bs_9-bs_8-bs_16-bs_18-bs_0
121,2024-03-04 17:54:00,1.0,route_R101,0,2024-03-04 17:54:00,bs_9-bs_8-bs_16-bs_18-bs_0
122,2024-03-04 18:09:00,1.0,route_R101,0,2024-03-04 18:09:00,bs_9-bs_8-bs_16-bs_18-bs_0
123,2024-03-04 18:24:00,1.0,route_R101,0,2024-03-04 18:24:00,bs_9-bs_8-bs_16-bs_18-bs_0
